HALLS MINI ΚΙΤΡΙΝΗ,0.8
DENTYNE ΜΟΒ,0.8
DENTYNE ΑΝΘΡΑΚΑΣ ΜΑΥΡΗ,0.8
DENTYNE WHITE ΠΡΑΣΙΝΗ,0.8
DENTYNE ΤΣΑΙ,0.8
DENTYNE SPEARMINT,0.8
DENTYNE ΕΥΚΑΛΥΠΤΟΣ,0.8
DENTYNE ΠΡΑΣΙΝΗ,0.8
DENTYNE ΚΑΝΕΛΑ,0.8
DENTYNE ΜΠΛΕ,0.8
DENTYNE ΔΙΑΦΟΡΕΣ,0.8
ΧΙΟΥ ΜΑΣΤΙΧΑ ΚΛΑΣΙΚΗ,0.8
ΧΙΟΥ ΜΑΣΤΙΧΑ SUGAR FREE,0.8
ΧΙΟΥ ΜΑΣΤΙΧΑ ΛΕΜΟΝΙ,0.75
ΧΙΟΥ ΜΑΣΤΙΧΑ ΤΡΙΑΝΤΑΦΥΛΛΟ,0.75
ΧΙΟΥ ΜΑΣΤΙΧΑ ΔΥΟΣΜΟ,0.75
ΧΙΟΥ ΜΑΣΤΙΧΑ ΜΕΝΤΑ,0.75
ΧΙΟΥ ΜΑΣΤΙΧΑ ΚΑΝΕΛΑ,0.75
FISHERMANS ΜΠΛΕ,1.15
FISHERMANS ΚΟΚΚΙΝΗ,1.15
FISHERMANS ΑΣΠΡΗ,1.15
FISHERMANS,1.15
ΜΗΧΑΝΗ ΓΙΑ ΣΤΡΙΦΤΟ RIZLA ΠΛΑΣΤΙΚΗ,2.5
ΜΗΧΑΝΗ ΓΙΑ ΣΤΡΙΦΤΟ RIZLA ΜΕΤΑΛΛΙΚΗ,3
ΜΗΧΑΝΗ ΓΙΑ ΣΤΡΙΦΤΟ ΠΑΠΠΟΥ ΠΛΑΣΤΙΚΗ,2
ΜΗΧΑΝΗ ΓΙΑ ΣΤΡΙΦΤΟ ΠΑΠΠΟΥ ΜΕΤΑΛΛΙΚΗ,2,5
RIZLA ΑΔΕΙΑ ΤΣΙΓΑΡΑ,0.6
ΤΑΜΠΑΚΙΕΡΑ,2.5
ΚΑΠΝΟΘΗΚΗ,5
MAGIC LIFE,2.5
MAGIC LIFE ΠΑΠΠΟΥ REGULAR,1.1
MAGIC LIFE ΠΑΠΠΟΥ SLIM,1.1
MAGIC LIFE ΠΑΠΠΟΥ EXTRA SLIM,1.1
ΥΓΡΑΕΡΙΟ,1.4
ΖΙΠΕΛΑΙΟ,1.8
FINI ΖΕΛΕΔΑΚΙΑ ΔΙΑΦΟΡΑ,0.70
FINI BANANA,0.7
FINI BEANS,0.7
FINI WILD STRAWBERRY,0.7
FINI CINEMA MIX,0.7
FINI STAR MIX,0.7
FINI PARTY MIX,0.7
FINI GALAXY MIX,0.7
FINI CLEAR MIX,0.7
FINI FRUIT ΤΣΙΧΛΑ,0.7
FINI FRUIT ATTACK,0.7
FINI MAGIC CARPET,0.7
